caseid,market,region,timezone,state,division,qs1,qs2,qs3,q1,q2,q3,q4,q5,q6,q6a_1,q6b_a,q6b_b,q6b_c,q6b_d,q6b_e,q6b_f,q6b_g,q6b_h,q6b_i,q6b_j,q6c_a,q6c_b,q6c_c,q6c_d,q7,q801,q901,q1001,q11,q12,q13,q14a,q14b,q14c,q14d,q15a,q15b,q16,q17,q18,q19,q20,q21,q22,q23a,q23b,q23c,q24a,q24b,q24c,q24d,q25a,q25b,q25c,q25d,q26,q27,q28,q29,q3001,q31,q32a,q32b,q32c,q32d,q32e,q33,q34,q3501,q36,q3701,q38,q39,q40,q41,q4201,q43,q44a,q44b,q44c,q44d,q45,q46,q47,q48,q49,q50,q51,q52,q53,q54,bmi,q55,q56a,q56b,q56c,q56d,q56e,q56f,q56g,q56h,q5701,q58,q59,q60a01,d101,d2,d3
224,ne_1,Northeast,E,NJ,2,1,Female,Single,6:30 AM – 6:44 AM,11:15 PM – 11:29 PM,7,8:00 AM – 8:14 AM,11:45 PM – 11:59 PM,8,A few nights a month,Every night or almost every night,A few nights a week,Rarely, Never,A few nights a week,Rarely,A few nights a month,Every night or almost every night,A few nights a month,A few nights a month,No,No,Yes,Yes,15 up to 30 minutes,Alone,Alone,Get recommendations from family/friends,No,None, ,Rarely,Rarely,A few nights a month,A few nights a month,Rarely,A few nights a month,Worse at night,No, , , ,Never,No impact, , , , , , , , , , , , , ,A few nights a week,No,Someone else,Somewhat difficult,Rarely, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a month?,Alarm clock,7,You slept too late,None,1 to 2 days,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly disagree,Mostly agree,Completely agree,Mostly agree,Morning person,02,01,1 to 2 times a month,No, ,No, ,63,120,21.3151927437642,Not at all,No,No,No,No,No,No,No,No,Working part-time,Regular day shifts,032,3,1,037,Suburban
225,mid_1,Mid West,C,WI,3,1,Female,Married,12:01 AM - 4:59 AM,9:00 PM – 9:14 PM,6,12:01 AM - 4:59 AM,9:00 PM – 9:14 PM,6,Never,Every night or almost every night,Every night or almost every night,Every night or almost every night, Never,A few nights a week,A few nights a month, Never,Rarely, Never, Never,No,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Talk to your doctor,No,1 time, , Never, Never,A few nights a week, Never, Never,A few nights a week, ,Yes,As loud as talking,Every night or almost every night,No,Never, ,No,No,No,Yes,Yes,No,No,Yes,No,No,No,None,No problems,Every night or almost every night,No,Someone else,Somewhat difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,Never,Wake up on own,5,You are never late or tardy?,None,None,None,No,No info, Somewhat concerned,Completely agree,Completely agree,Mostly agree,Completely agree,Morning person,03,00,1 to 2 times a month,No, ,Yes,Less often or never?,63,200,35.525321239607,Not at all,No,Yes,Yes,No,No,No,No,Yes,No info, , , ,1,067,Rural
226,south_3,South,C,TX,7,1,Female,Married,5:30 AM – 5:44 AM,11:00 PM – 11:14 PM,6,8:30 AM – 8:44 AM,12:00 AM (Midnight),8,A few nights a week,Every night or almost every night, Never, Never,Rarely,Every night or almost every night,A few nights a month,A few nights a month, Never, Never, Never,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,Alone,Use an over-the-counter sleep aid,No,2 or 3 times,Refused, Never,Rarely,Rarely,A few nights a month, Never,Every night or almost every night, ,No, , , ,Never, ,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,045,No problems,Every night or almost every night,No,Pain/Discomfort,Not very difficult, Never, Never, Never, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,8,You are never late or tardy?,None,None,None,Yes,Do not watch TV/these programs before bed, Somewhat concerned,Mostly disagree,Completely agree,Completely agree,Completely agree,Evening person,00,00,Less than once a month,No, ,Yes,Less often or never?,65,147,24.5289940828402,Not at all,No,No,No,No,No,No,No,No,Working part-time,Regular day shifts,045,3,1,042,Suburban
227,ne_2,Northeast,E,NY,2,1,Female,Married,9:00 AM – 9:14 AM,1:00 AM – 1:59 AM,7,10:00 AM – 10:59 AM,1:00 AM – 1:59 AM,8,A few nights a week, Never,A few nights a week,A few nights a week, Never, Never, Never, Never,Every night or almost every night, Never,A few nights a month,No,No,Yes,No,15 up to 30 minutes,With your significant other,Alone,Talk to your doctor,No,None, ,Rarely,Every night or almost every night,A few nights a week,Every night or almost every night,Every night or almost every night, Never,Worse at night,Yes,Don't Know,Don't Know,No,Never, ,No,No,No,No,No,Not sure,Not sure,Yes,No,No,No,None,No problems,A few nights a week,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,1 to 2 nights a week,8,8,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Mostly disagree,Mostly agree,Mostly agree,Completely agree,Evening person,00,00,Never,No, ,No, ,66,190,30.7506887052342,Not at all,Don't Know,Yes,Yes,No,No,No,No,Yes,Retired, , , ,1,072,Suburban
228,mid_3,Mid West,C,IA,4,1,Female,Widowed,7:00 AM – 7:14 AM,10:30 PM – 10:44 PM,8,9:30 AM – 9:44 AM,11:00 PM – 11:14 PM,Don't Know,A few nights a week, Never,Every night or almost every night, Never, Never,A few nights a week, Never, Never,Every night or almost every night, Never,Rarely,No,No,No,Yes,5 up to 10 minutes,Alone,Alone,Talk to your doctor,No,2 or 3 times,1 hour or more?,Rarely,Rarely,Every night or almost every night,Rarely,Rarely,A few nights a week,Don't Know,No, , , ,Don't Know,No impact, , , , , , , , , , , , , ,A few nights a week,Yes,Noise,Very difficult,Rarely, Never, Never, Never, Never,Never?,Never,Alarm clock,6,You needed to take care of others,Refused,None,None,Refused,Makes it difficult for you to fall asleep,Very concerned,Mostly agree,Completely agree,Mostly agree,Completely agree,Morning person,04,00,Never,No, ,No, ,62,150,27.5104058272633,Not at all,Yes,Yes,No,No,No,No,No,Yes,Retired, , , ,1,082,Suburban
229,mid_3,Mid West,E,MI,3,1,Male,Married,12:01 AM - 4:59 AM,10:00 PM – 10:14 PM,6,10:00 AM – 10:59 AM,11:00 PM – 11:14 PM,9,Every night or almost every night, Never,Every night or almost every night,A few nights a month,Rarely,Rarely,A few nights a week, Never,Every night or almost every night, Never,Every night or almost every night,No,No,No,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,No,1 time, , Never,Rarely,Rarely,Rarely, Never,Every night or almost every night, ,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Never,No impact,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,None,Little problems,A few nights a week,No,Noise,Not at all difficult, Never, Never, Never, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,4,You slept too late,None,None,None,No,Or does it have no impact on your sleep?, Somewhat concerned,Completely agree,Mostly agree,Completely disagree,Completely agree,Evening person,03,01,1 to 2 times a month,No, ,Yes,Less often or never?,73,215,28.4434227810096,Not at all,No,No,No,No,No,No,No,No,Working full-time,Regular day shifts,050,7,1,028,Rural
231,south_3,South,E,NC,5,1,Female,Widowed,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,5,11:00 AM – 11:59 AM,11:00 PM – 11:14 PM,6,Every night or almost every night, Never,Every night or almost every night, Never, Never,Every night or almost every night, Never,A few nights a month,A few nights a week, Never,Every night or almost every night,Yes,Yes,Yes,Yes,1 hour or more?,Alone,Alone,Talk to your doctor,Yes,None, ,Every night or almost every night,A few nights a week,A few nights a week,Every night or almost every night, Never,Every night or almost every night, ,Yes,Very loud and can be heard in adjacent rooms?,Every night or almost every night,Yes,Don't Know, , , , , , , , , , , , , , ,A few nights a month,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,Every night or almost every night,Every night or almost every night,Alarm clock,8,You are never late or tardy?,None,None,3 to 5 days,No,Or does it have no impact on your sleep?,Not really concerned,Mostly agree,Completely disagree,Mostly disagree,Mostly disagree,Morning person,08,00,Never,No, ,No, ,63,170,30.1965230536659,Not at all,No,No,No,No,No,No,No,Yes,Working more than one job,No info,080,6,1,067,Rural
232,south_2,South,E,VA,5,1,Female,Living with someone,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,9:00 AM – 9:14 AM,1:00 AM – 1:59 AM,9,A few nights a month, Never,Every night or almost every night, Never,A few nights a week,A few nights a week,A few nights a week, Never,Every night or almost every night,A few nights a month,A few nights a month,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,Alone,Assume it will go away in time,No,1 time, ,Rarely,A few nights a month,Rarely,A few nights a month, Never,Every night or almost every night, ,No, , , ,Never,No impact,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,030,No problems,Every night or almost every night,No,Noise,Not very difficult, Never, Never,A few nights a month, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Alarm clock,5,Traffic or transportation problems,None,1 to 2 days,None,No,Causes you to have disturbed or restless sleep, Somewhat concerned,Mostly disagree,Mostly agree,Completely agree,Mostly agree,Evening person,00,02,1 to 2 times a month,No, ,Yes,Less often or never?,68,200,30.4930795847751,Not at all,No,No,No,No,No,Yes,No,No,Working more than one job,Rotating shifts,062,3,1,032,Suburban
233,mid_1,Mid West,E,MI,3,1,Male,Widowed,7:00 AM – 7:14 AM,12:00 AM (Midnight),4,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,4,Don't Know, Never, Never, Never, Never,Every night or almost every night, Never, Never,Every night or almost every night, Never,A few nights a week,No,No,No,No,1 hour or more?,Alone,Don't Know,Nothing,Yes,None, ,Every night or almost every night,Every night or almost every night, Never,Every night or almost every night,Don't Know,Every night or almost every night, ,Don't Know, , , ,Don't Know,No impact, , , , , , , , , , , , , ,Every night or almost every night,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Alarm clock,4,Do not work, , ,None,No intimate or sexual relationship,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Mostly disagree,Mostly agree,Mostly disagree,Refused,03,00,Don’t drive/Don’t have a license, , , , ,68,164,25.0043252595156,Not at all,Yes,Yes,No,No,No,No,No,No,Retired, , , ,1,090,Rural
234,south_2,South,C,MS,6,1,Male,Married,5:30 AM – 5:44 AM,10:00 PM – 10:14 PM,7,7:00 AM – 7:14 AM,11:45 PM – 11:59 PM,8,A few nights a week,Rarely,Every night or almost every night,Rarely,A few nights a month, Never,A few nights a week,A few nights a week,Every night or almost every night,A few nights a week,A few nights a month,Yes,No,Yes,Yes,10 up to 15 minutes,With your significant other,With your significant other,Assume it will go away in time,No,1 time, ,Rarely,Rarely,A few nights a month,A few nights a month,Every night or almost every night,A few nights a week,Worse at night,Yes,As loud as talking,Every night or almost every night,Yes,Never, ,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,None,No problems,A few nights a month,No,The need to go to the bathroom,Not at all difficult, Never, Never,Rarely, Never, Never,1 to 2 nights a week,1 to 2 nights a week,Alarm clock,3,You needed to take care of others,None,None,1 to 2 days,No,Or does it have no impact on your sleep?,Very concerned,Mostly agree,Mostly agree,Mostly agree,Mostly disagree,Morning person,06,08,Less than once a month,No, ,Yes,Less often or never?,72,212,28.8310185185185,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,040,7,3,038,Rural
235,ne_1,Northeast,E,CT,1,1,Male,Living with someone,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,5,7:00 AM – 7:14 AM,11:00 PM – 11:14 PM,7,A few nights a week, Never,Every night or almost every night,A few nights a week,Every night or almost every night, Never,A few nights a week, Never,Every night or almost every night,A few nights a month, Never,Yes,No,No,Yes,15 up to 30 minutes,With your significant other,Alone,Assume it will go away in time,Yes,None, ,A few nights a week,Every night or almost every night,A few nights a week,A few nights a week,A few nights a month,Every night or almost every night,Worse at night,Yes,Louder than talking,1 to 2 nights a month?,Yes,Never,No impact,No,No,No,Yes,Yes,No,Yes,No,No,No,No,None,Little problems,A few nights a month,Don't Know,Someone else,Somewhat difficult, Never, Never, Never, Never,Rarely,1 to 2 nights a week,1 to 2 nights a week,Children,6,You are never late or tardy?,None,None,None,Yes,Makes it difficult for you to fall asleep,Very concerned,Completely agree,Completely agree,Mostly agree,Mostly agree,Evening person,00,04,Never,No, ,No, ,72,235,31.958912037037,Every day,No,No,No,Yes,Yes,Yes,No,No,Working full-time,Regular day shifts,051,6,1,027,Urban
236,ne_1,Northeast,E,CT,1,1,Male,Widowed,6:30 AM – 6:44 AM,11:00 PM – 11:14 PM,4,7:30 AM – 7:44 AM,11:00 PM – 11:14 PM,4,Refused, Never,Every night or almost every night,Rarely, Never,Every night or almost every night, Never, Never,A few nights a month, Never,Rarely,Yes,No,Yes,No,10 up to 15 minutes,Alone,Alone,Talk to your doctor,Yes,None, ,Rarely,Every night or almost every night,Every night or almost every night,Every night or almost every night,A few nights a month,Rarely,Worse at night,Yes,Louder than talking,3 to 4 nights a week,Yes,Refused, , , , , , , , , , , , , , ,Rarely,Yes,Wake up for no apparent reason,Very difficult, Never, Never, Never, Never, Never,3 to 4 nights a week,1 to 2 nights a week,Wake up on own,8,You are never late or tardy?,None,None,None,No intimate or sexual relationship,Or does it have no impact on your sleep?, Somewhat concerned,Mostly agree,Completely agree,Mostly agree,Mostly disagree,Morning person,00,00,1 to 2 times a month,No, ,Yes,Less often or never?,69,170,25.1732829237555,Not at all,Yes,Yes,No,No,No,No,No,No,Retired, , , ,1,079,Rural
237,mid_2,Mid West,E,OH,3,1,Male,Married,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,8:00 AM – 8:14 AM,12:00 AM (Midnight),8,Rarely, Never,Every night or almost every night, Never,Rarely,A few nights a week,Rarely,Every night or almost every night,Rarely,Every night or almost every night,A few nights a week,Yes,No,Yes,No,15 up to 30 minutes,With your significant other,With your significant other,Don't Know,No,4 or 5 times,15 to less than 30 minutes,A few nights a month,A few nights a week,A few nights a month,Rarely,Rarely,Rarely,Refused,Yes,Slightly louder than breathing,1 to 2 nights a week,Yes,Don't Know, ,No,No,No,Not sure,Refused,Yes,Not sure,Yes,No,No,Yes,None,No problems,A few nights a week,No,Don't Know,Not very difficult, Never, Never,Every night or almost every night, Never, Never,1 to 2 nights a month?,1 to 2 nights a week,Wake up on own,6,Do not work, , ,None,No,Or does it have no impact on your sleep?,Very concerned,Completely disagree,Completely agree,Completely disagree,Completely agree,Evening person,03,04,Never,No, ,Yes,1 to 2 days a month,68,155,23.6321366782007,Not at all,No,Yes,No,No,No,No,No,No,Retired, , , ,1,067,Rural
238,mid_2,Mid West,C,IL,3,1,Female,Married,9:30 AM – 9:44 AM,9:00 PM – 9:14 PM,9,8:30 AM – 8:44 AM,10:00 PM – 10:14 PM,9,A few nights a week, Never,A few nights a week,A few nights a week, Never,A few nights a week, Never, Never,A few nights a week, Never,Every night or almost every night,No,No,Yes,Yes,45 minutes up to 1 hour,With your significant other,Refused,Refused,No,None, ,A few nights a month,A few nights a month,A few nights a month, Never, Never, Never, ,No, , , ,Never,No impact,No,No,No,No,No,No,No,No,No,No,No,None,No problems,A few nights a month,No,Noise,Somewhat difficult, Never, Never, Never, Never, Never,Never?,1 to 2 nights a month?,Wake up on own,9,Do not work, , ,None,No,Do not watch TV/these programs before bed,Not really concerned,Mostly disagree,Mostly agree,Mostly disagree,Mostly disagree,Evening person,00,00,Never,No, ,No, ,64,155,26.678466796875,Not at all,No,Yes,No,No,No,No,No,No,Retired, , , ,1,085,Suburban
240,south_3,South,E,FL,5,1,Male,Married,8:00 AM – 8:14 AM,1:00 AM – 1:59 AM,7,9:00 AM – 9:14 AM,1:00 AM – 1:59 AM,0,Every night or almost every night,Rarely,Every night or almost every night,Rarely,Rarely,Every night or almost every night,A few nights a month,Rarely,A few nights a month,Rarely,Rarely,Yes,No,Yes,Yes,5 up to 10 minutes,With your significant other,With your significant other,Talk to your doctor,Yes,1 time, ,Rarely,A few nights a month,Don't Know,Every night or almost every night,Rarely,A few nights a week,About the same,Yes,As loud as talking,Every night or almost every night,Yes,1 to 2 nights a week, ,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,030,Little problems,A few nights a month,No,The need to go to the bathroom,Not very difficult,A few nights a month, Never, Never, Never,A few nights a month,Every night or almost every night,3 to 4 nights a week,Pet,7,You went to bed too late,None,None,3 to 5 days,Yes,Causes you to have disturbed or restless sleep,Very concerned,Mostly disagree,Mostly agree,Mostly agree,Mostly agree,Evening person,01,01,Less than once a month,No, ,Yes,Less often or never?,71,175,24.4743106526483,Not at all,No,No,No,Yes,No,No,No,No,Working full-time,Regular day shifts,042,1,1,057,Urban
